ds,c011mois,c1259mois,c5ansp,d011mois,d1259mois,d5ansp,casageinc,decageinc,totalcas,totaldeces,letal,attaq
2024-01-07,0.23524124277868397,0.3164747559675182,0.2991315705421911,0.031072107855020195,0.12321627121207464,0.02883160580721415,0.8508475692883932,0.18311998487430897,0.8508475692883932,0.18311998487430897,21.52206711097047,0.00011255711956616991
2024-01-14,0.23524124277868397,0.22106426948954777,0.25453833612376425,0.03171703945507939,0.10951514779567009,0.026888154192662484,0.710843848391996,0.16812034144341198,0.710843848391996,0.16812034144341198,23.650811894021167,9.403627503249624e-05
2024-01-21,0.23524124277868397,0.17095105853144205,0.25453833612376425,0.037880471535992805,0.11103865423702679,0.03285813289685717,0.6607306374338903,0.18177725866987676,0.6607306374338903,0.18177725866987676,27.511552873626897,8.740688701840845e-05
2024-01-28,0.23524124277868397,0.20202799773593877,0.25453833612376425,0.03813604966076669,0.11086924682375757,0.03206212683346864,0.691807576638387,0.18106742331799291,0.691807576638387,0.18106742331799291,26.17309052870322,9.151800032242439e-05
2024-02-04,0.23524124277868397,0.20029227259950194,0.25453833612376425,0.03936127135487443,0.11088808420500619,0.0333248232235534,0.6900718515019502,0.18357417878343402,0.6900718515019502,0.18357417878343402,26.602183292056107,9.128838431508323e-05
2024-02-11,0.23524124277868397,0.1898227772747235,0.25453833612376425,0.03943728812843068,0.11088598956861775,0.033078501527977346,0.6796023561771718,0.18340177922502576,0.6796023561771718,0.18340177922502576,26.98663086700851,8.9903393301882e-05
2024-02-18,0.23524124277868397,0.18964664323349284,0.25453833612376425,0.03968137183574498,0.1108862224832433,0.03335082658979035,0.6794262221359411,0.18391842090877863,0.6794262221359411,0.18391842090877863,27.069667745614307,8.988009284119542e-05
2024-02-25,0.23524124277868397,0.1888758195949863,0.25453833612376425,0.039701483890761634,0.11088619658413112,0.03328258491140976,0.6786553984974346,0.18387026538630252,0.6786553984974346,0.18387026538630252,27.09331802169368,8.977812194584882e-05
2024-03-03,0.23524124277868397,0.186240648673352,0.25453833612376425,0.039750212380988505,0.11088619946400184,0.033342336145708466,0.6760202275758003,0.18397874799069883,0.6760202275758003,0.18397874799069883,27.214976784118463,8.942951984694202e-05
2024-03-10,0.23524124277868397,0.18454351921034023,0.25453833612376425,0.039755204530392954,0.11088619914377251,0.03332448819121147,0.6743230981127885,0.18396589186537693,0.6743230981127885,0.18396589186537693,27.281564635741795,8.920500959295228e-05
2024-03-17,0.23524124277868397,0.1832532168912452,0.25453833612376425,0.03976495288888823,0.11088619917938065,0.03333779208732157,0.6730327957936935,0.18398894415559047,0.6730327957936935,0.18398894415559047,27.337292522070367,8.903431778204619e-05
2024-03-24,0.23524124277868397,0.18186018257938444,0.25453833612376425,0.039766143312550704,0.11088619917542117,0.03333328074425034,0.6716397614818326,0.18398562323222223,0.6716397614818326,0.18398562323222223,27.393497792074793,8.885003573757725e-05
2024-03-31,0.23524124277868397,0.18060781521208003,0.25453833612376425,0.0397680974958441,0.11088619917586146,0.033336279145177984,0.6703873941145282,0.18399057581688352,0.6703873941145282,0.18399057581688352,27.445411031319424,8.868436227432654e-05
2024-04-07,0.23524124277868397,0.17952349709068216,0.25453833612376425,0.03976837367519975,0.1108861991758125,0.03333516339486308,0.6693030759931304,0.18398973624587533,0.6693030759931304,0.18398973624587533,27.48974909055457,8.854091974849314e-05
2024-04-14,0.23524124277868397,0.17852665952869035,0.25453833612376425,0.03976876619552079,0.11088619917581793,0.033335845840350466,0.6683062384311386,0.18399081121168917,0.6683062384311386,0.18399081121168917,27.530913319560064,8.840904987108724e-05
2024-04-21,0.23524124277868397,0.17761800479513704,0.25453833612376425,0.03976882900633757,0.11088619917581734,0.033335573877016376,0.6673975836975852,0.18399060205917128,0.6673975836975852,0.18399060205917128,27.568365027605807,8.828884554403666e-05
2024-04-28,0.23524124277868397,0.17680124961558963,0.25453833612376425,0.03976890800087132,0.1108861991758174,0.0333357304180973,0.6665808285180379,0.18399083759478602,0.6665808285180379,0.18399083759478602,27.60217961921285,8.818079844639087e-05
2024-05-05,0.23524124277868397,0.17606217413921926,0.25453833612376425,0.039768922072510086,0.1108861991758174,0.03333566478812361,0.6658417530416675,0.18399078603645108,0.6658417530416675,0.18399078603645108,27.632809927577068,8.808302745924235e-05
2024-05-12,0.23524124277868397,0.17539218912591775,0.25453833612376425,0.039768937999825206,0.1108861991758174,0.03333570091474023,0.665171768028366,0.18399083809038283,0.665171768028366,0.18399083809038283,27.660650516745417,8.799439632721386e-05
2024-05-19,0.23524124277868397,0.17478630354922403,0.25453833612376425,0.039768941115585925,0.1108861991758174,0.033335685188172384,0.6645658824516723,0.18399082547957568,0.6645658824516723,0.18399082547957568,27.685866870085018,8.79142447962453e-05
2024-05-26,0.23524124277868397,0.17423824286103112,0.25453833612376425,0.039768944332721115,0.1108861991758174,0.0333356935646149,0.6640178217634793,0.18399083707315342,0.6640178217634793,0.18399083707315342,27.708719712449266,8.784174281746897e-05
2024-06-02,0.23524124277868397,0.1737421958728611,0.25453833612376425,0.03976894501619273,0.1108861991758174,0.03333568981503982,0.6635217747753093,0.18399083400704994,0.6635217747753093,0.18399083400704994,27.729434210257143,8.777612163904262e-05
2024-06-09,0.23524124277868397,0.17329334133115867,0.25453833612376425,0.03976894566714057,0.1108861991758174,0.03333569176418442,0.663072920233607,0.18399083660714238,0.663072920233607,0.18399083660714238,27.748205512950314,8.771674346586354e-05
