prov,zs,pop,debutsem,c011mois,d011mois,c1259mois,d1259mois,c5ansp,d5ansp,Annee
HAUT-KATANGA,KAMPEMBA,193955.0,2020-06-01,0.0,0.0,2.0,0.0,5.0,0.0,2020
HAUT-KATANGA,KISANGA,193955.0,2020-06-01,0.0,0.0,0.0,0.0,4.0,0.0,2020
HAUT-KATANGA,KATUBA,193955.0,2020-06-01,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,PWETO,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI,MUSHENGE,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
KINSHASA,LIMETE,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
LOMAMI,MULUMBA,193955.0,2020-01-14,0.0,0.0,0.0,0.0,1.0,0.0,2020
LUALABA,FUNGURUME,193955.0,2020-06-01,0.0,0.0,1.0,0.0,3.0,0.0,2020
MANIEMA,KINDU,193955.0,2020-06-01,0.0,0.0,1.0,0.0,0.0,0.0,2020
TANGANYIKA,KABALO,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2020-06-01,0.0,0.0,5.0,0.0,21.0,0.0,2020
TANGANYIKA,MOBA,193955.0,2020-06-01,0.0,0.0,4.0,0.0,19.0,1.0,2020
TANGANYIKA,NYEMBA,193955.0,2020-06-01,0.0,0.0,0.0,0.0,2.0,0.0,2020
TSHOPO,YAKUSU,193955.0,2020-06-01,0.0,0.0,16.0,1.0,27.0,0.0,2020
HAUT-LOMAMI,BUKAMA,193955.0,2019-06-01,0.0,0.0,4.0,0.0,0.0,0.0,2020
HAUT-LOMAMI,BUTUMBA,193955.0,2019-06-01,0.0,0.0,1.0,0.0,0.0,0.0,2020
HAUT-LOMAMI,KABONDO-DIANDA,193955.0,2019-06-01,0.0,0.0,0.0,0.0,2.0,1.0,2020
HAUT-LOMAMI,KINKONDJA,193955.0,2019-06-01,0.0,0.0,0.0,0.0,8.0,0.0,2020
HAUT-LOMAMI,MALEMBA-NKULU,193955.0,2019-06-01,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-LOMAMI,MUKANGA,193955.0,2019-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-LOMAMI,MULONGO,193955.0,2019-06-01,0.0,0.0,0.0,0.0,8.0,0.0,2020
KONGO CENTRAL,KIMPESE,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
SUD-KIVU,MINOVA,193955.0,2020-12-01,0.0,0.0,4.0,0.0,7.0,0.0,2020
SUD-KIVU,IBANDA,193955.0,2020-12-01,0.0,0.0,1.0,0.0,5.0,0.0,2020
SUD-KIVU,KADUTU,193955.0,2020-12-01,0.0,0.0,0.0,0.0,3.0,0.0,2020
SUD-KIVU,IDJWI,193955.0,2020-12-01,0.0,0.0,1.0,0.0,8.0,0.0,2020
SUD-KIVU,KALEHE,193955.0,2020-12-01,0.0,0.0,6.0,0.0,2.0,0.0,2020
SUD-KIVU,KABARE,193955.0,2020-12-01,0.0,0.0,1.0,0.0,1.0,0.0,2020
SUD-KIVU,FIZI,193955.0,2020-12-01,0.0,0.0,43.0,0.0,75.0,0.0,2020
SUD-KIVU,MUBUMBANO,193955.0,2020-12-01,0.0,0.0,0.0,0.0,2.0,0.0,2020
SUD-KIVU,BAGIRA-KASHA,193955.0,2020-12-01,0.0,0.0,4.0,1.0,9.0,0.0,2020
KASAI-ORIENTAL,BONZOLA,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI-ORIENTAL,MUYA,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI-ORIENTAL,TSHILENGE,193955.0,2020-06-01,0.0,0.0,0.0,0.0,1.0,1.0,2020
NORD-KIVU,NYIRAGONGO,193955.0,2020-01-06,0.0,0.0,0.0,0.0,4.0,0.0,2020
NORD-KIVU,KIROTSHE,193955.0,2020-01-06,0.0,0.0,23.0,0.0,49.0,2.0,2020
NORD-KIVU,MWESO,193955.0,2020-01-06,0.0,0.0,29.0,0.0,0.0,0.0,2020
NORD-KIVU,MASISI,193955.0,2020-01-06,0.0,0.0,27.0,0.0,61.0,0.0,2020
NORD-KIVU,KIBUA,193955.0,2020-01-06,0.0,0.0,13.0,0.0,16.0,0.0,2020
NORD-KIVU,GOMA,193955.0,2020-01-06,0.0,0.0,23.0,0.0,13.0,0.0,2020
NORD-KIVU,KARISIMBI,193955.0,2020-01-06,0.0,0.0,5.0,0.0,23.0,0.0,2020
NORD-KIVU,RUTSHURU,193955.0,2020-01-06,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,MUFUNGA-SAMPWE,193955.0,2020-01-13,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,KILWA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KASENGA,193955.0,2020-01-13,0.0,0.0,5.0,0.0,16.0,0.0,2020
HAUT-KATANGA,TSHAMILEMBA,193955.0,2020-01-13,0.0,0.0,4.0,3.0,0.0,0.0,2020
HAUT-KATANGA,PWETO,193955.0,2020-01-13,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,KISANGA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KAMALONDO,193955.0,2020-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KAFUBU,193955.0,2020-01-13,0.0,0.0,1.0,0.0,11.0,0.0,2020
HAUT-KATANGA,KAMPEMBA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,LUBUMBASHI,193955.0,2020-01-13,0.0,0.0,0.0,0.0,5.0,1.0,2020
HAUT-KATANGA,KATUBA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-KATANGA,KASHOBWE,193955.0,2020-01-13,0.0,0.0,16.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KENYA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
LUALABA,BUNKEYA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
LUALABA,FUNGURUME,193955.0,2020-01-13,0.0,0.0,1.0,0.0,0.0,0.0,2020
TANGANYIKA,KABALO,193955.0,2019-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2019-01-13,0.0,0.0,16.0,0.0,26.0,1.0,2020
TANGANYIKA,KANSIMBA,193955.0,2019-01-13,0.0,0.0,1.0,0.0,2.0,0.0,2020
TANGANYIKA,MANONO,193955.0,2019-01-13,0.0,0.0,0.0,0.0,3.0,0.0,2020
TANGANYIKA,MOBA,193955.0,2019-01-13,0.0,0.0,9.0,0.0,22.0,0.0,2020
TANGANYIKA,NYEMBA,193955.0,2019-01-13,0.0,0.0,1.0,0.0,3.0,0.0,2020
TSHOPO,YAKUSU,193955.0,2020-01-13,0.0,0.0,16.0,1.0,27.0,0.0,2020
HAUT-LOMAMI,MALEMBA-NKULU,193955.0,2019-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-LOMAMI,MUKANGA,193955.0,2019-01-13,0.0,0.0,0.0,0.0,2.0,0.0,2020
HAUT-LOMAMI,MULONGO,193955.0,2019-01-13,0.0,0.0,0.0,0.0,4.0,0.0,2020
HAUT-LOMAMI,BUKAMA,193955.0,2019-01-13,0.0,0.0,1.0,0.0,4.0,0.0,2020
HAUT-LOMAMI,KINKONDJA,193955.0,2019-01-13,0.0,0.0,2.0,0.0,8.0,1.0,2020
SUD-KIVU,BAGIRA-KASHA,193955.0,2020-01-19,0.0,0.0,1.0,0.0,7.0,1.0,2020
SUD-KIVU,IBANDA,193955.0,2020-01-19,0.0,0.0,2.0,0.0,5.0,0.0,2020
SUD-KIVU,NYANTENDE,193955.0,2020-01-19,0.0,0.0,3.0,0.0,4.0,0.0,2020
SUD-KIVU,MINOVA,193955.0,2020-01-19,0.0,0.0,8.0,0.0,9.0,0.0,2020
SUD-KIVU,UVIRA,193955.0,2020-01-19,0.0,0.0,0.0,0.0,11.0,0.0,2020
SUD-KIVU,KADUTU,193955.0,2020-01-19,0.0,0.0,1.0,0.0,3.0,0.0,2020
SUD-KIVU,KATANA,193955.0,2020-01-19,0.0,0.0,1.0,0.0,4.0,0.0,2020
SUD-KIVU,NYANGEZI,193955.0,2020-01-19,0.0,0.0,0.0,0.0,1.0,0.0,2020
SUD-KIVU,FIZI,193955.0,2020-01-19,0.0,0.0,24.0,0.0,58.0,0.0,2020
SUD-KIVU,IDJWI,193955.0,2020-01-19,0.0,0.0,0.0,0.0,4.0,0.0,2020
KASAI-ORIENTAL,CITENGE,193955.0,2020-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI-ORIENTAL,BONZOLA,193955.0,2020-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
KASAI-ORIENTAL,LUKELENGE,193955.0,2020-01-13,0.0,0.0,0.0,0.0,1.0,0.0,2020
NORD-KIVU,GOMA,193955.0,2020-01-13,0.0,0.0,26.0,0.0,13.0,0.0,2020
NORD-KIVU,KARISIMBI,193955.0,2020-01-13,0.0,0.0,8.0,0.0,4.0,0.0,2020
NORD-KIVU,KIBUA,193955.0,2020-01-13,0.0,0.0,12.0,0.0,10.0,0.0,2020
NORD-KIVU,KIROTSHE,193955.0,2020-01-13,0.0,0.0,27.0,0.0,37.0,0.0,2020
NORD-KIVU,MASISI,193955.0,2020-01-13,0.0,0.0,20.0,0.0,47.0,0.0,2020
NORD-KIVU,MWESO,193955.0,2020-01-13,0.0,0.0,38.0,0.0,27.0,0.0,2020
NORD-KIVU,NYIRAGONGO,193955.0,2020-01-13,0.0,0.0,7.0,0.0,5.0,0.0,2020
NORD-KIVU,RUTSHURU,193955.0,2020-01-13,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,TSHAMILEMBA,193955.0,2020-01-20,0.0,0.0,3.0,0.0,0.0,0.0,2020
HAUT-KATANGA,KASHOBWE,193955.0,2020-01-20,0.0,0.0,18.0,0.0,3.0,0.0,2020
HAUT-KATANGA,KISANGA,193955.0,2020-01-20,0.0,0.0,0.0,0.0,5.0,0.0,2020
HAUT-KATANGA,KAFUBU,193955.0,2020-01-20,0.0,0.0,1.0,0.0,8.0,0.0,2020
HAUT-KATANGA,KASENGA,193955.0,2020-01-20,0.0,0.0,6.0,1.0,15.0,1.0,2020
HAUT-KATANGA,KENYA,193955.0,2020-01-20,0.0,0.0,0.0,0.0,3.0,0.0,2020
HAUT-KATANGA,KAMPEMBA,193955.0,2020-01-20,0.0,0.0,4.0,1.0,4.0,0.0,2020
HAUT-KATANGA,KATUBA,193955.0,2020-01-20,0.0,0.0,0.0,0.0,4.0,0.0,2020
HAUT-KATANGA,KAMALONDO,193955.0,2020-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,LUBUMBASHI,193955.0,2020-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
HAUT-KATANGA,KILWA,193955.0,2020-01-20,0.0,0.0,0.0,0.0,11.0,2.0,2020
KINSHASA,LIMETE,193955.0,2020-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
MAINDOMBE,YUMBI,193955.0,2020-01-20,0.0,0.0,0.0,0.0,2.0,0.0,2020
TANGANYIKA,KALEMIE,193955.0,2019-01-20,0.0,0.0,14.0,0.0,26.0,1.0,2020
TANGANYIKA,KANSIMBA,193955.0,2019-01-20,0.0,0.0,1.0,0.0,4.0,0.0,2020
TANGANYIKA,MANONO,193955.0,2019-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
TANGANYIKA,MOBA,193955.0,2019-01-20,0.0,0.0,4.0,0.0,16.0,0.0,2020
TANGANYIKA,NYEMBA,193955.0,2019-01-20,0.0,0.0,6.0,0.0,13.0,0.0,2020
TSHOPO,LUBUNGA,193955.0,2020-01-20,0.0,0.0,0.0,0.0,1.0,0.0,2020
