ds,c011mois,c1259mois,c5ansp,d011mois,d1259mois,d5ansp,casageinc,decageinc,totalcas,totaldeces,letal,attaq
2024-01-07,0.19587443968060328,0.1554557542136085,0.25461952585303976,-0.10213710920878213,2.610008833822163e-20,-0.05844628132799273,0.6059497197472515,-0.16058339053677487,0.6059497197472515,-0.16058339053677487,-26.501108145368235,8.01600163396141e-05
2024-01-14,0.2245482748060253,0.2736150923691436,0.16347199114078104,-0.1041200131452221,-3.9269348763776537e-22,-0.05009076504583837,0.66163535831595,-0.15421077819106047,0.66163535831595,-0.15421077819106047,-23.30751769125077,8.752657094320496e-05
2024-01-21,0.2245482748060307,0.2576734967718665,0.3852626764459968,-0.11884605407172633,5.908339202107807e-24,0.042684344421976515,0.8674844480238941,-0.0761617096497498,0.8674844480238941,-0.0761617096497498,-8.77960519329702,0.00011475798281903881
2024-01-28,0.19587443968064056,0.13542682743827877,0.11951065184276781,-0.11941709348031572,-8.889496064005204e-26,-0.05725164505557995,0.45081191896168715,-0.17666873853589565,0.45081191896168715,-0.17666873853589565,-39.18901233640854,5.963711115360333e-05
2024-02-04,0.2962328626196618,0.342551068362799,0.2403420710770327,-0.12154581731256103,6.006204398568958e-19,-0.05906682606473151,0.8791260020594935,-0.18061264337729255,0.8791260020594935,-0.18061264337729255,-20.544568463926502,0.00011629802340541185
2024-02-11,0.35358053287055846,0.31816856115744313,0.31267939973843,-0.12166926139396309,9.036740822897988e-21,-0.05842086454590292,0.9844284937664316,-0.180090125939866,0.9844284937664316,-0.180090125939866,-18.29387579496401,0.00013022830372528903
2024-02-18,0.19587443968061502,0.11797842854241421,0.09735881780573005,-0.12197777319865452,1.0018873771270498e-18,-0.058780132654703596,0.41121168602875924,-0.1807579058533581,0.41121168602875924,-0.1807579058533581,-43.95738545249327,5.439846640222019e-05
2024-02-25,1.195874439680615,0.6920512669128912,0.3279514124033059,0.3779984857758115,0.3333333333333333,-0.058633783291485685,2.215877118996812,0.6526980358176592,2.215877118996812,0.6526980358176592,29.455515841652513,0.00029313446359782253
2024-03-03,0.19587443968061502,0.10761377725684472,0.2299763605185891,-0.12204633982269872,1.2012408770388215e-18,-0.05870753560165275,0.5334645774560489,-0.18075387542435145,0.5334645774560489,-0.18075387542435145,-33.88301361757115,7.057108511135041e-05
2024-03-10,0.2532221099315112,0.19547796631629072,0.2407238305649811,-0.12205062408558279,1.8073481686042703e-20,-0.05867547135817691,0.689423906812783,-0.1807260954437597,0.689423906812783,-0.1807260954437597,-26.214074339147757,9.120266885853929e-05
2024-03-17,0.19587443968061516,0.09989780505537701,0.13591755070524775,-0.1220571532820938,3.186942149513188e-18,-0.0586909005059367,0.4316897954412399,-0.1807480537880305,0.4316897954412399,-0.1807480537880305,-41.86989261659146,5.710747926519099e-05
2024-03-24,0.19587443968061513,0.0937488130707502,0.2707886199311607,-0.12205789612739315,2.7110222529064056e-20,-0.05868397972170535,0.560411872682526,-0.1807418758490985,0.560411872682526,-0.1807418758490985,-32.25161433214121,7.413589511994948e-05
2024-03-31,0.19587443968061513,0.1358860912501532,0.25883835870215915,-0.12205884946214383,3.469446953982856e-18,-0.058687237966278304,0.5905988896329275,-0.18074608742842213,0.5905988896329275,-0.18074608742842213,-30.603865093745856,7.812928218347962e-05
2024-04-07,0.306089493444056,0.42679472591425627,0.3464678183305589,-0.12205897479313041,1.110403759442017e-16,-0.05868575446932181,1.0793520376888712,-0.1807447292624521,1.0793520376888712,-0.1807447292624521,-16.745669897419763,0.00014278557140586602
2024-04-14,0.1958744396806152,0.08167021153061,0.2437419127700425,-0.12205911431799103,1.743760220604666e-18,-0.05868644567346353,0.5212865639812677,-0.18074555999145456,0.5212865639812677,-0.18074555999145456,-34.67297499690585,6.8960077254907e-05
2024-04-21,0.1958744396806152,0.08263530166900286,0.24483988293313397,-0.12205913504962186,6.006204385040289e-19,-0.05868612871134146,0.523349624282752,-0.18074526376096334,0.523349624282752,-0.18074526376096334,-34.53623646117522,6.923299585208957e-05
2024-04-28,0.3231145830497908,0.44387995645317957,0.18987215177452732,-0.12205915551609534,5.552018797210085e-17,-0.058686275665509734,0.9568666912774977,-0.18074543118160502,0.9568666912774977,-0.18074543118160502,-18.889301177397517,0.00012658220163816586
2024-05-05,0.3607489916519414,0.4732701570403959,0.3040071940344485,-0.12205915889468913,3.338791378283624e-19,-0.058686208047801,1.1380263427267858,-0.18074536694249013,1.1380263427267858,-0.18074536694249013,-15.88235352350565,0.00015054749140892593
2024-05-12,0.19587443968061513,0.06795074413504877,0.3394795800696745,-0.12205916190340631,-6.765021490086141e-30,-0.05868623932397431,0.6033047638853384,-0.18074540122738061,0.6033047638853384,-0.18074540122738061,-29.959219957648525,7.981011980826996e-05
2024-05-19,0.5283117156662782,0.6702214779174186,0.2881038239239275,-0.12205916244766728,6.109574544276371e-36,-0.05868622490957822,1.4866370175076244,-0.1807453873572455,1.4866370175076244,-0.1807453873572455,-12.15800395312829,0.00019666458079094915
2024-05-26,0.21021135724333917,0.1315060424759736,0.3019042038594617,-0.12205916289089383,2.4004342510457924e-38,-0.05868623156940778,0.6436216035787745,-0.1807453944603016,0.6436216035787745,-0.1807453944603016,-28.082555566079552,8.514356320013333e-05
2024-06-02,0.2102113572433392,0.17507082218146067,0.19536923291257505,-0.12205916297776463,1.6128633322771456e-36,-0.058686228497687905,0.5806514123373749,-0.18074539147545254,0.5806514123373749,-0.18074539147545254,-31.128037861455223,7.681334801177635e-05
